sentence #,Word,Tag
0,Abhishek,O
0,Jha,O
0,Application,O
0,Development,O
0,Associate,O
0,Accenture,O
0,Bengaluru,O
0,",",O
0,Karnataka,O
0,Email,O
0,me,O
0,on,O
0,Indeed,O
0,:,O
0,indeed,O
0,.,O
0,com,O
0,r,O
0,Abhishek,O
0,Jha,O
0,10e7a8cb732bc43a,O
0,To,O
0,work,O
0,for,O
0,an,O
0,organization,O
0,which,O
0,provides,O
0,me,O
0,the,O
0,opportunity,O
0,to,O
0,improve,O
0,my,O
0,skills,O
0,and,O
0,knowledge,O
0,for,O
0,my,O
0,individual,O
0,and,O
0,company,O
0,',O
0,s,O
0,growth,O
0,in,O
0,best,O
0,possible,O
0,ways,O
0,.,O
0,Willing,O
0,to,O
0,relocate,O
0,to,O
0,:,O
0,Bangalore,O
0,",",O
0,Karnataka,O
0,WORK,O
0,EXPERIENCE,O
0,Application,O
0,Development,O
0,Associate,O
0,Accenture,O
0,November,O
0,2017,O
0,to,O
0,Present,O
0,Role,O
0,:,O
0,Currently,O
0,working,O
0,on,O
0,Chat,O
0,bot,O
0,.,O
0,Developing,O
0,Backend,O
0,Oracle,B-Skill
0,PeopleSoft,I-Skill
0,Queries,O
0,for,O
0,the,O
0,Bot,O
0,which,O
0,will,O
0,be,O
0,triggered,O
0,based,O
0,on,O
0,given,O
0,input,O
0,.,O
0,Also,O
0,",",O
0,Training,O
0,the,O
0,bot,O
0,for,O
0,different,O
0,possible,O
0,utterances,O
0,Both,O
0,positive,O
0,and,O
0,negative,O
0,",",O
0,which,O
0,will,O
0,be,O
0,given,O
0,as,O
0,input,O
0,by,O
0,the,O
0,user,O
0,.,O
0,EDUCATION,O
0,B,O
0,.,O
0,E,O
0,in,O
0,Information,O
0,science,O
0,and,O
0,engineering,O
0,B,O
0,.,O
0,v,O
0,.,O
0,b,O
0,college,O
0,of,O
0,engineering,O
0,and,O
0,technology,O
0,Hubli,O
0,",",O
0,Karnataka,O
0,August,O
0,2013,O
0,to,O
0,June,O
0,2017,O
0,12th,O
0,in,O
0,Mathematics,O
0,Woodbine,O
0,modern,O
0,school,O
0,April,O
0,2011,O
0,to,O
0,March,O
0,2013,O
0,10th,O
0,Kendriya,O
0,Vidyalaya,O
0,April,O
0,2001,O
0,to,O
0,March,O
0,2011,O
0,SKILLS,O
0,C,B-Skill
0,Less,O
0,than,O
0,1,O
0,year,O
0,",",O
0,Database,B-Skill
0,Less,O
0,than,O
0,1,O
0,year,O
0,",",O
0,Database,B-Skill
0,Management,I-Skill
0,Less,O
0,than,O
0,1,O
0,year,O
0,",",O
0,Database,B-Skill
0,Management,I-Skill
0,System,O
0,Less,O
0,than,O
0,1,O
0,year,O
0,",",O
0,Java,B-Skill
0,Less,O
0,than,O
0,1,O
0,year,O
0,ADDITIONAL,O
0,INFORMATION,O
0,Technical,O
0,Skills,O
0,https,O
0,:,O
0,www,O
0,.,O
0,indeed,O
0,.,O
0,com,O
0,r,O
0,Abhishek,O
0,Jha,O
0,10e7a8cb732bc43a,O
0,?,O
0,isid,O
0,rex,O
0,download,O
0,ikw,O
0,download,O
0,top,O
0,co,O
0,IN,O
0,Programming,O
0,language,O
0,:,O
0,C,B-Skill
0,",",O
0,C++,B-Skill
0,",",O
0,Java,B-Skill
0,Oracle,B-Skill
0,PeopleSoft,I-Skill
0,Internet,B-Skill
0,Of,I-Skill
0,Things,O
0,Machine,B-Skill
0,Learning,I-Skill
0,Database,B-Skill
0,Management,I-Skill
0,System,O
